作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
陈巨来篆刻,篆刻,篆刻,1927,陈巨来篆刻,evt_01644,《陈巨来篆刻》：“陈君巨来，年少笃学，雅好篆刻，从四明赵叔孺先生游，艺益古隽，上自秦、两汉、宋元，下及徽、浙诸派，靡不得其神髓，视近之貌为奇古谲觚炫世者，途径迥别，当代识者，若王胜之、褚礼堂、高野侯、丁辅之、黄宾虹、吴湖帆诸先生等尤为心折，赞美备至。下列数印（略），为陈君印作。收件处：上海南成都路善乐坊七百零七号陈寓、朵云轩及九华堂（厚记）。”（8月10日申报）
池州青玉峡,作画,其他,1927,池州青玉峡; 池阳待闸,evt_01652,约此际，画《池州青玉峡》图，书《池阳待闸》诗合璧扇页寄赠陈直。
采石矶图,作画,其他,1928,采石矶图,evt_01692,戊辰三月，为张𬤊斋作《采石矶图》。
陶冷月年表,篆刻,篆刻,1928,陶冷月年表,evt_01705,陶为衍《陶冷月年表》1928年条：“（陶冷月）受聘暨南大学中国艺术系主任。由徐悲鸿函荐，聘任黄宾虹为中国画史教授，汤安为金石篆刻教授。春，与暨大同事黄宾虹、王云僧、钱云鹤游无锡梅园。”
天马观画记,作画,山水,1928,天马观画记; 疏林远岫; 达摩出山; 太华揽胜; 听松图,evt_01728,俞剑华《天马观画记》：“天马会近在宁波同乡会开第九届展览会，内分中国画、西洋画、摄影、雕刻四种。余日前特往参观，今将感想所及，拉杂述之于下：一、全体作品鸟瞰。就全体作品观察，似乎无大进步，杰作未免太少，滥作未免太多。中国画数量虽多，人数亦极伙，然能惬人意者不过十之二三，西洋画则数量既少，精彩更鲜，老作家已洗笔改行，新作家尚未成熟，虽不无一二幅合作，然提倡西画已及二十年，结果不过如此，未免令人气短。惟摄影似有急足之进步，而雕刻则绝无仅有，祇佛像三尊、图章拓片数方而已，幸有平泉书屋所藏古画加入展览，时有精品以资点缀，为之生色不少。一、我所认为杰作者。山水中童啸秋君《疏林远岫》，笔意古雅，非庸手可及
广西大学筹备员过港记,作画,山水,1928,广西大学筹备员过港记; 宾虹藏印; 古画微,evt_01742,橄榄《广西大学筹备员过港记》：“广西大学筹备员马君武、陈柱尊，及暑期讲习会讲师陈钟凡、黄宾虹、白鹏飞、陈钦仁、丘景尼、唐庆增、姜琦、马名海及其夫人等，于八号、九号先后来港转轮赴梧。到港时，黎工佽、杜其章二君设宴于南园，马君武、白鹏飞数君于席次挥毫题字贻《非非画报》，老画家黄宾虹亦走笔作山水两帧，一贻杜其章，一贻黄般若君。席间有叩马君武君以广西大学之筹备之经过，略谓广西大学校舍已决定在梧州，现仍在建筑中，筹备于今年十月间开学，此次返桂筹备一切，并请国内学者往桂讲学，顺道一游桂林，一月后即赴广州云云。是日马君武、马名海二君，即转乘梧港轮赴梧，而黄宾虹诸教授等则留港一二日。黄君宾虹以南社之关系，与邓
八桂豪游图,作画,山水,1928,八桂豪游图,evt_01771,讲学期间，笔墨酬应，求者踵接。为陈柱作《八桂豪游图》山水长卷。
画梅,作画,其他,1928,画梅; 艺林,evt_01793,谈月色自题《画梅》：“戊辰秋仲，宾虹师桂林返棹，道出珠江，造访赁庑，亲授用笔用墨之法，因悟得此。己巳夏五，画寄《艺林》。蔡谈溶之月色。”（《艺林旬刊》第六十七期）
李铁夫失黄宾虹画（长风）,作画,山水,1928,李铁夫失黄宾虹画（长风）,evt_01795,《李铁夫失黄宾虹画（长风）》：“近世习艺 术辈，每多习欧西派者，则抨击国粹派为落后，师古法者则排欧西派为忘本，惟鹤山画师李铁夫则无此论也。铁夫幼年爱好美术，求学时已能作山水人物，及长，赴 英美法留学，专研西洋美术，游于世界画师沙剪车士之门凡十数年，定（静）物人像之作品，均有精到处，虽欧洲人士莫不推崇备至。铁夫虽精欧西画艺，但对国画 绝口从不诋毁一言，且对唐宋古派，犹深爱赏览，无时下画人轻佻态，盖其有学术修养，有以致之。民国二十年（按：应为十七年），铁夫以倦游归国，止于洋石。 时适上海国画名家黄宾虹慕桂林阳朔山水之胜，买棹南来，由广东而道经入桂。抵穗时，有某名人之介绍而识铁夫，黄李二人各有相见恨
溪山独钓图,作画,山水,1928,溪山独钓图,evt_01809,秋，题陶冷月新作《溪山独钓图》。
漓江山色图,作画,其他,1928,漓江山色图,evt_01811,为陶冷月绘《漓江山色图》。
机丝夜月图题咏集,作画,其他,1928,机丝夜月图题咏集; 机丝夜月图; 金缕词,,
秋英先参记,作画,山水,1928,秋英先参记; 麻姑; 兰草; 西府海棠; 双柳簃图,,
餐英盛会记,作画,山水,1928,餐英盛会记,evt_01832,民生《餐英盛会记》：“昨日（12日）为秋英会第一次书画金石展览会之第四日，预约定是日下午六时全体同人聚餐，并于餐前合作书画，到者寿芝、春澍、公展、逸民、冷月、惜庵、六阳、介堪、孟容、声远、一亭、澹涵、辛壶、云鹤、剑华、大千、善孖、亚青、陶民、寄凡、子鼎、玉岑、曼青、半跛、德怡、慕唐、公禺、师子、公冶、英宾、企周、哲惠、仲谋、屠格、个簃、素庵、博亭、吉生、杏芬、瘦铁、苇佛、臼厂、铁年、海粟、仲熙、青霞、雪泥、无声、万里、浩然五十余人，即席成四尺中堂九秋图两帧，一帧全属菊花，墨笔彩色，光怪陆离，错杂成趣。此外山水、人物、花鸟无一不备，而爱山水者有时转画花卉，画人物者转画山水，玩一出倒串戏，别生高趣
秋英会读画记,作画,山水,1928,秋英会读画记; 秋山行旅图; 松风泉韵图; 柳岸; 大士像,,
沪上画人集绘记,作画,其他,1928,沪上画人集绘记,evt_01839,冥飞《沪上画人集绘记》：“冥飞去沪年许，比来始言归。国内画家多集于此，且有秋英社之组织云。十月既望后一日，偶至大西路两宜里汪英宾所。院落中方陈鼓吹，则其太翁禹丞值五十有九初度。冥飞谊属通家，而未之前闻，仓卒客乃以两肩荷一口者为仪焉。于是画人至者：王师子、王个簃、王匋民、方介堪、朱凤竹、朱应鹏、朱群园、沈益斋、李祖韩、李秋君兄妹、吴仲熙、吴青霞父女、符铁年、张善孖、张聿光、唐吉生、俞剑华、汤临泽、杨清磬、黄宾虹、陶冷月、奚屠格、曾公冶、马万里、马企周、马孟容、马公禺、蔡逸民、楼辛壶、熊松泉、郑曼青、郑午昌、萧厔泉、钱瘦铁、钱云鹤、谢公展、谢玉岑，都为二十七人。方分成数案，调铅殽粉，挥毫落纸，有数
自习画谱大全,作画,其他,1928,自习画谱大全,evt_01848,12月，马骀（企周）编绘《自习画谱大全》由世界书局发售预约。
中国学术讨论,作画,山水,1928,中国学术讨论,evt_01850,12月，陈柱主编《中国学术讨论》第二集由群众图书公司发行，刊所绘山水画一幅于首页。
寒之友集会读画绝句,作画,山水,1929,寒之友集会读画绝句; 瑶池一角; 芙蓉松石; 双梅; 五清,,
二美宴记,作画,山水,1929,二美宴记; 红楼梦,evt_01875,俞剑华《二美宴记》：“二美宴者，非美人之宴，乃美术界之宴也。月之二十一日经子渊、陈树人、李祖韩三君为何香凝女士募画事，宴海上画家二十余人于卡德路李宅，二十二日为神州国光社黄宾虹先生宴海上美术界、报界、文艺界百余人于大东酒楼。两宴不佞均幸参末席，以其于中国美术界有重大之关系，故于酒后拉杂记之。何香凝女士为先烈廖仲恺先生夫人，工书善画，仲恺殉难后，在广东立一仲恺蚕桑学校，以资纪念。现该校经费不足，何女士拟于两月后赴洋募捐，为捐募便利，且可将中国艺术博览于世界起见，拟征求画家作品，以期一举两得。是日虽仓卒召请，且寒风苦雨，而到者尚极踊跃，计有商笙伯、张红薇、郑曼青、方介堪、马孟容、秦清曾、沈子丞、张
自叙,篆刻,篆刻,1929,自叙; 印说; 宾虹藏印二集,evt_01883,《自叙》：“余旅食沪壖垂二十年，戢影尘淄，古懽遣日，金石文字，昕夕摩挲，惟于鈢印，尤所酷好，屡失屡得，可千百计。道因器存，有三善焉。殷商贞卜，周秦鼎彝，考释诸书，日益繁浩，说文古籀，汗简石经，七国古文，湮没已久。昔著竹帛，嬗变隶楷，今存镂刻，矩矱先民，䌷绎简编，足资征引，其善一也。篆分大小，禀训斯、冰，碑碣留遗，风雨剥蚀。古印出土，如发新硎。画以肖形，字多异体，方圆奇正，可助挥豪，其善二也。阳款阴识，间白分朱，制别官私，质殊金玉。立亭覆斗，细侔筑坛，驼虎龟蛇，状兼各兽。子母穿带，急就回文，凿铸异宜，犹瞻制作，其善三也。鉴此三善，务祛四弊。一曰习见。部曲军侯，刘胜任贺，累累数十，如出一笵，印谱传
漓江纪游,书法,其他,1929,漓江纪游,evt_01923,约此际，为王春渠书《漓江纪游》。
畏斋雅集图卷,作画,其他,1929,畏斋雅集图卷,evt_01952,首夏，刘公鲁招饮寓斋，同集者十余人，尽欢而散，为作《畏斋雅集图卷》。
雅集图,作画,其他,1929,雅集图,evt_01953,与刘公鲁书：“公鲁先生大鉴：日昨惠临，失迓为歉。承假金元玉、徐天池法书，程青溪、袁随园画卷，郙阁颂、禹窆两搨，共六件，先谨奉赵，两种仍在陈淮生君处，闻将由渠面谢。拙作《雅集图》先此拟稿博笑，容暇点染设色为之，再当奉上。印件为摄影，迟延鉴原是荷。专肃鸣谢，祗候道绥。弟黄宾虹顿首。”
雅䜩,作画,其他,1929,雅䜩; 云汉图; 北风图,evt_01963,松厂《雅䜩》：“前夕曾农髯、符铁年与罗杰大䜩海上书画家于一品香菜社，盖为群治大学建筑新校舍，拟募集各名家书画，售充经费也。到者有商笙伯、黄宾虹、许征白、马孟容、马公愚、谢公展、谢介子、郑曼青、萧厔泉、张红薇、张善孖、张大千、俞剑华、陈刚叔等五十余人，济济一堂，觥筹交错，谈笑风生，有可纪者，爰录一二如次。△曾农髯精神矍铄农髯老人，为海上书画家年事最高者，须发皤然，而精神不衰。是夕，执主人礼，对客酬酢，备极殷勤，略无倦容。自古艺术家多寿康，观于此老益信。△谢公展大吹喇叭谢公展有演说天才，而声音宏亮，有称之为谢喇叭者，每一启齿，必惊四座。罗杰请其代表致词，口若悬河，而掌声雷动矣。△张大千食不下咽张大
林散之,作画,山水,1929,林散之; 陶渊明醉酒图,evt_01975,林昌庚等《林散之》：“一日，父亲（按：林散之）作《陶渊明醉酒图》，颇自得，持呈张栗庵先生。张先生语重心长地对父亲说：‘你现在对古诗文词已有所悟，夙所秉承而能进其所介，惟六法之道非可臆造，开导点化，是在真师，切不能骛于虚名，入歧途，空渡岁月。吾友黄宾虹，海内名宿，可往师之。’父亲闻之竦然，毅然辞去在范期琨家的教书工作，去上海投师黄宾虹。……父亲去上海前，精心临绘了十几幅山水、人物画，带了一些钱和换洗衣服，持张栗庵先生介绍信于1929年春末去上海。……黄先生重情义，对安徽来求学的倍觉亲切；加上父亲是张栗庵介绍来的，更是热情接待。父亲怀着诚惶诚恐的心情将所带的画呈给黄先生，黄先生见父亲朴实憨厚的举止
志美专师弟画展,篆刻,山水,1929,志美专师弟画展,evt_01982,俞剑华《志美专师弟画展》：“学者以古人为师，往往费数十年之功，未必有成，以今人为师，其优秀者于期年之间，便可形神逼肖。其故在于用笔运墨之法，可以面授，较之自行钻研者，自有事半功倍之效。此学者之必务得名师也，斯言观于美专师弟画展而益信。美专国画尚未甚重，自郑曼青主任后，不但画风丕变，而来学者亦日众。近更广揽名流，任为教授，学者亦奋勉不懈，故其成绩斐然可观，于近日开师弟子展览会于宁波同乡会。端午后一日，偕黄宾虹先生往观。其中教授作品如笙伯、企周、宾虹、善孖、大千、辛壶、征白、万里、介堪、午昌、孟容、曼青诸公，皆系海上名画家，其作品早已有目共赏，勿俟喋喋。学生之画，则酷似其师，一望而知其为某人之弟子
评美专师弟展览会,篆刻,山水,1929,评美专师弟展览会; 绮秋图; 书谱,,
张大千、俞剑华东游,作画,山水,1929,张大千、俞剑华东游; 书谱; 中国画家人名辞典,evt_02001,《张大千、俞剑华东游》：“海上书画家张大千、俞剑华君，张大千画学石涛、八大、白阳，书则各体俱能，制印古劲，尤富收藏，精鉴赏，与乃兄善孖并称‘二难’。俞剑华笔墨豪健古雅，近年山水专攻半千，偶作花卉，不名一家，出入白阳、复堂、石涛之间而别具面貌，字亦各体具备，尤长钟鼎与《书谱》，所辑《中国画家人名辞典》，搜罗宏富，编制精详，现已由神州国光社出版（按：此条消息不确）。兹二君将于27日相偕东渡作三岛之游，大千并携其夫人及高足胡若思，至东京后，拟开一展览会，然后再赴各处游历云。”（7月29日申报）
董美人志,书法,其他,1929,董美人志; 虞美人; 董美人志; 常丑奴志,evt_02050,与吴湖帆书：“湖帆先生鉴：顷自皖归，途中成倚声题《董美人志》，拙劣，希削正，如勉可附骥尾，再行录下册中。示敦煌写经卷值，商之前途，已允遵售。专此，祇颂道绥。黄宾虹谨启。十月廿五。玉勾斜外金凫逝，啣出销魂字妖娆。何似金宝儿娇，已是碧萤无焰照前朝。洛神风韵簪花貌，笔阵欧、虞早。君家更有丑奴儿，莫东邻处子效西施。调寄《虞美人》奉题湖帆先生藏隋《董美人志》，又《常丑奴志》亦精绝，故尾语及之。录呈郢正。天都黄宾虹草。”
石华,篆刻,篆刻,1929,石华; 石华; 艺观,evt_02070,姚光书：“宾虹社长先生大鉴：来教并《石华》等集拜悉，尊藏古印谱第二集亦已珍弆，对此鸿宝，挹之无穷，每一展卷，辄感厚赐矣。《美术丛书》将赓四集，甚盛甚盛。所示书目，敝藏者皆系普通之本，不足以供校录，有金氏雪鸿楼所藏书画小记，或可入选，容携呈鉴定也。《石华》之价报载每集四元，今知须八元，所少之数乞暂记，当续汇不。《艺观》敝处祇有三期，续出者尚祈源源见惠是幸。手此，敬颂撰安。弟姚光顿首。11月6日灯下。”
月夜驱车图,作画,其他,1929,月夜驱车图,evt_02085,本年应陈直请为其从兄保之作《月夜驱车图》。
昌明艺专观光记,作画,山水,1930,昌明艺专观光记; 西来一叶; 丹桂,,
蔬果图卷,作画,其他,1930,蔬果图卷,evt_02122,与许承尧为丁辅之作《蔬果图卷》题跋。
文专师弟作品展览会之宣言,篆刻,山水,1930,文专师弟作品展览会之宣言; 蜜蜂,evt_02132,曼青《文专师弟作品展览会之宣言》：“展览会之名词，频年以来，已数见不鲜矣。其最伟者，为全国美展，其次或开学校展览，或开个人展览，目的不同，而用意各异。本校成立以来，仅一学期，学生努力向学，日进不已，为之师者，亦复谆谆施教，终日忘倦。是以于最短时期中，日积月累，亦略有成绩可观。此次开会展览，非敢以所学夸示于众，亦欲以师弟研究之所得，请社会予以批评，知中国之文艺，尚有一线之曙光，或不至流风之歇绝，此则振兴文艺之意也。中国为东方最古文明国，自欧风东渐，惊奇炫异，习焉不察，而吾国特殊之文艺，转隐于五里雾中。本校师弟亦知世界眼光不可不具，而民族固有之精神，尤不能无所表现，意欲以成绩之所列，使社会知所观感
蜜蜂,作画,山水,1930,蜜蜂; 办中国文艺学校之感言; 中国文专师弟作品展览之异军突起; 炼丹图; 三多图,,
记艺专同乐会,作画,山水,1930,记艺专同乐会; 琴挑; 梅花三弄; 断臂; 洪洋洞,evt_02151,梅溪《记艺专同乐会》：“本月22日，法界祁齐路中国艺专学校举行第一届毕业典礼，余适假馆该校总务主任郑曼青君家，故得参与会，特志盛况如下：正午十二时，该校各生齐集礼堂，敦请蔡元培先生亲授文凭，兼致训词。礼成，师生佥以毕业诸同学行将别去，相处有日，不能无情，遂挽毕业诸同学合作山水、翎毛、花卉，以留纪念，而该校教授如张红薇、马公愚、方介堪诸先生亦各乘兴书长联，分赠毕业诸同学，一时来宾中见此诸先生均当代书画名流，丐求不易，因纷纷乘机出纸索书画，诸先生亦欣然挥洒，以是得者莫不称意而去。是日午后八时，新旧同学临时发起同乐会，以助余兴。首由来宾陈富年君（胡琴圣手陈彦衡少君）唱《琴挑》，佐以许姬传君吹笛。一曲
中国艺术专科暑校开学,篆刻,山水,1930,中国艺术专科暑校开学,evt_02154,《中国艺术专科暑校开学》：“本埠枫林桥中国艺术专科学校（原名中国文艺学院）本届开办暑假研究班，报名者甚形踊跃，业于昨日举行开学礼，师生济济，行礼如仪，刘穗九、马孟容、马公愚诸教授均有演说。研究期限四十五天，所开课程有山水、花卉、翎毛、走兽、草虫、画学史、画理、诗词、文学、书法、篆刻等科，均系文艺界名夙担任，每日上午八时至十一时，下午三时至五时为上课时间，每逢星期三或星期六请名人演讲，并赴名胜之处旅行，以扩见闻而助修学云。”
艺乘书画展览会,书法,山水,1930,艺乘书画展览会,,
澹远楼图,作画,其他,1930,澹远楼图,evt_02166,新秋，应请为商务印书馆同仁费范九作《澹远楼图》。
风轩水槛图,作画,其他,1930,风轩水槛图,evt_02176,秋日，为陈泽霈作《风轩水槛图》。
豫园观画记,作画,山水,1930,豫园观画记; 九华飞涧图; 海上墨林,evt_02187,郑逸梅《豫园观画记》：“豫园曲桥之畔，有书画善会焉。主其事者，为杨东山先生，以风雅之道，为施济之举，法至善也。先生谢世，白龙山人继主之不替。自登高节（按：阴历九月九日）起，举行书画会旬日。一昨偕荆人游豫园之便，遂莅会以观赏。晤潘子敬斋，殷勤款洽，四壁书画，琳琅满目，敬斋所作山水两帧，意境萧然，令人神往。黄宾虹之《九华飞涧图》，苍雄之气，足以抗手古人，平揖时辈，与汪仲山（名琨）之人物，神态之妙，可谓异曲同工。叶渭莘笔墨轻灵澹雅，一蝉一蟹，自得趣致。渭莘为指发后嗣，宜其家学渊源也。赵云壑一门风雅，父子俱传缶老之学，所作梅竹小石，逸气横溢，自属神品。……临行，敬斋贻《海上墨林》一部，乃东山先生所手辑
金华山图,作画,山水,1930,金华山图,evt_02204,自题《金华山图》：“笋舆冈陇径盘旋，迎面峰来识洞天。岚影排窗三叠峰，雨声喧枕百重泉。僊灵诡秘探龙窟，遗逸高踪访鹿田。回首狮山读书处，寻源难忘是髫年。壬戌春日游金华山洞，访谢皋羽遗迹，忆曩读书狮山仅距十里许，忽忽四十年，余重到此，不禁沧桑之感，率为赋此。翰飞先生惠贶杰作山水自北平寄余沪上，佩甚佩甚，因捡旧写拙画奉酬，即希哂正。潭渡黄宾虹，庚午冬日。”（西泠拍卖行2006年秋季拍卖图录）
枫桥夜冷图,作画,其他,1930,枫桥夜冷图,evt_02209,冬日，为陆丹林作《枫桥夜冷图》。
洞天福地图,作画,其他,1930,洞天福地图,evt_02215,冬月，张善孖、张大千母亲七十寿辰，画《洞天福地图》以贺。
魏塘宾筵小记,作画,山水,1930,魏塘宾筵小记; 梅花寿带; 福地洞天; 岳顶慈云; 海屋添寿,evt_02217,玉岑《魏塘宾筵小记》：“张善孖、大千兄弟之太夫人七十寿，在魏塘大千寓庐称觞，海上同人往祝者甚多。太夫人工画信教，不事鸠杖，腰脚康健，而膝有五男十七孙，泰半精通文艺，有声于时。曾孙肇基，堕地方七十日，黄襁承欢，芳兰绕砌，海屋之盛茂，一时无两。壁间书画如林，皆海上相知之作，画如一亭之《梅花寿带》、宾虹之《福地洞天》、午昌之《岳顶慈云》、红薇之菊鸟、曼青之柏、师子之水仙、楼辛壶之山水、吟詹之《海屋添寿》，皆足当一时之选，而个簃一画，尤为恢奇，纸修可一丈而强，与拙作山水小帧不二尺者，同为越规逾矩。不才素不能画，重违善孖、大千之意，初绘一松兰长幅，兰实无锡胡汀鹭所加，持示善孖，遽称其兰，则床头捉刀人洵有
石雨草堂图,作画,其他,1930,石雨草堂图,evt_02226,冬，为许承尧作《石雨草堂图》，并录青岩、渐江遗诗。
岭南艺苑图卷,作画,其他,1930,岭南艺苑图卷,evt_02228,本年，赵少昂在香港创办岭南艺苑香港分苑，来书乞作《岭南艺苑图卷》。
丹枫红叶图,书法,其他,1930,丹枫红叶图,evt_02235,本年，为姜丹书《丹枫红叶图》卷题诗。
中国版本略说,篆刻,篆刻,1931,中国版本略说,evt_02241,《中国版本略说》：“中国科学社中国书版展览会应征者台衔列左：黄宾虹先生隋唐写经、周秦汉印谱。”
桂林山水图卷,作画,山水,1931,桂林山水图卷; 绿绮园图,evt_02243,1月，东莞黄般若北上游览金焦名胜，道出沪上，昕夕过从，作《桂林山水图卷》以赠，并为邓尔雅作《绿绮园图》。
中国艺术专科学校同学录,作画,山水,1931,中国艺术专科学校同学录; 同学录,evt_02256,《中国艺术专科学校同学录》：“现任职员一览刘穗九：校长兼文学系主任。郑岳（曼青）：教务主任。郑昶（午昌）：秘书主任。陆丹林：总务主任。马毅（孟容）：画学系主任。翁养初：文学系副主任。张光（红薇）：图书馆主任。郑鹿祥（辀奇）：教务副主任。陈颀（倚石）：注册股主任。沙衍林：会计。沈征远：事务员。戚更生：收发。张广达：图书馆管理兼书记。郑兰贞：书记。郑葆湜：校医。沙晓嵩：校医。洪士豪：法律顾问。现任教员一览刘穗九：文化史、美术史。郑岳（曼青）：国画花卉、诗学。郑昶（午昌）：国画史、山水。马毅（孟容）：国画花鸟。翁养初：文学、诗学。张光（红薇）：国画花卉。张善孖：国画走兽。黄宾虹：国画山水。商笙伯：国
雁山梯云谷图,作画,其他,1931,雁山梯云谷图,evt_02278,为余静芝作《雁山梯云谷图》。
艺苑新声△张善孖华诞宴客,作画,山水,1931,艺苑新声△张善孖华诞宴客,evt_02287,《艺苑新声△张善孖华诞宴客》：“蜀中名士张善孖以画虎名于时，所作山水人物，亦久为艺苑所称赞。今夏游日归来后，声誉益隆。今日为张君五十诞辰，文艺界同人多往祝贺，张君亦于今午假三马路陶乐春宴客。”（7月12日申报）
雁山叙别图,作画,花鸟,1931,雁山叙别图; 雁山图; 宣和画谱; 雁山叙别图,evt_02305,蒋叔南书：“宾虹先生青鉴；别来多时矣，剑华先生返沪，谅见面，能详述一切也。昨日偶翻故宫博物院发行之日历（在今年9月10日一页），见有宋赵宗汉《雁山叙别图》，惜其题跋过于细小，未能明察，若固为雁山而作，则于周邠作《雁山图》送东坡之先，早有人作雁山图者矣。先生于古画图考证详洽，能设法穷源竟委而详示其所以，殊为快慰之至也。《宣和画谱》宗汉为濮王孙，善花卉，存于内府者尚有画八幅，类多水禽杂花，而未及《雁山叙别图》，而流传至今，竟宛然存在，于此知天府之深广，为不可及也。图层峦迭（叠）嶂，万壑千岩，似非雁山不类，而乾隆御题则有‘雁山墅’语，不可解也。山高秋早，已有凉意，诸惟万福，匆候大安。弟蒋叔南顿首。廿
病榻慰亲图,作画,其他,1932,病榻慰亲图,evt_02380,壬申三月，李祖韩、秋君之母六十岁寿辰，作《病榻慰亲图》以祝。
湖荷忆昨图,作画,其他,1932,湖荷忆昨图,evt_02388,暮春，为黄节作《湖荷忆昨图》，状1918年夏相偕湖亭看荷之景。
听帆图,作画,其他,1932,听帆图,evt_02391,为唐天如作《听帆图》。
仕女图,作画,人物,1932,仕女图,evt_02398,并为经亨颐夫人题张大千所作《仕女图》。
翦淞阁读画销夏,作画,山水,1932,翦淞阁读画销夏,,
霜柑阁岁寒雅集图,作画,其他,1932,霜柑阁岁寒雅集图,evt_02500,12月22日壬申十一月廿五日，偕吴一峰赴林思进招饮，在座有李亚衡、培甫昆仲、庞石帚、祝屺怀、方鹤翁、沈渻斋等。以乱后不敢夜行，傍晚即散，允作《霜柑阁岁寒雅集图》以纪此会。
经学通论,作画,山水,1932,经学通论; 字林补林; 中国文学史略论; 养晴室笔记,,
霜柑阁图,作画,其他,1933,霜柑阁图,evt_02525,林思进《清寂堂日记》：“二十日，辛巳。雪始渐融，而瓦沟犹平白若厚棉，此真吾蜀所稀有也。（中略）宾虹送所画《霜柑阁图》来，上题两诗，即和予韵者。然画似用意为之，而反不及其途中草草所写者，此自来书画皆如是也。笺复谢之。（下略）”
鸜鹆桃柳,作画,其他,1933,鸜鹆桃柳,evt_02584,林思进《清寂堂日记》：“初二日，壬辰，晴。教四川大学四时。午后集饮亚衡家，有宾虹、林菊舟。林前日在花会购得黄瘿瓢画《鸜鹆桃柳》。黄品本不高，而幅又黯澹，桃柳著色皆不可见矣，值尚廿八元也。今日不近饮，上灯归。（下略）”
青城山图,作画,其他,1933,青城山图,evt_02638,在常道观为道长彭椿仙作《青城山图》。
讲学集录,作画,山水,1933,讲学集录,evt_02677,《讲学集录》：“画学自宋南渡，至于南方，画家仅就江南风景写之，多属平远景，无大丘壑。后有写永康及永嘉风景者。永康在浙江金华府，有金华山，以赤松宫之三洞最有名，相传为赤松子得道处。溪流出于其下，一峰峙立，登其上，城郭聚落，宛在目前。金华山之形影，远视如覆釜，近视则丘壑极多，俱幽藏其中。故宋人作山水多阴面山，皴满后而分阴阳，元人则多画阳面山，此所谓讲画理必知天然之理与造作之理也。永康之山景最奇，有方岩重叠如贯钱，又有孤峰特立，上下俱方，不至其地不知其奇。永嘉在浙江温州府，由仙霞岭分脉。有雁荡山盘曲数百里，争奇竞胜，游历难遍。绝顶有湖水常不涸，雁之春归者留宿焉，故曰雁荡。向以瀑布著名，有大龙湫、小龙
先父陆抑非与黄宾虹的一段轶闻,作画,山水,1933,先父陆抑非与黄宾虹的一段轶闻,evt_02707,陆公望《先父陆抑非与黄宾虹的一段轶闻》：“时值1934（按：当为1933）年末，母亲怀孕我的那年。黄宾虹先生偕夫人寄居我父亲所居住的上海萨坡赛路二○七号（今淡水路二一九号）二楼厢房内。我父母亲住在楼下。在此前宾虹老人曾住隔壁的西成里，因为与朋友交往不便，故搬到我父母所居的沿街房屋内住。有一件往事极为有趣，现记述于后。当时我父亲年仅二十六岁，除了绘画外，已在上海美专、新华艺专等美术学校教课了。由于父亲年轻时以画工笔画为主，所用毛笔须笔锋较细，因此不少用久之秃笔就束之高阁放在大笔筒内了。而黄宾虹先生却正需用这些秃笔来绘山水画很得心应手。为此，他老人家通过其夫人向我母亲索些我父亲已用过的秃笔给他画山
蜀游山水册,作画,山水,1933,蜀游山水册,evt_02720,初冬，为姚石子作《蜀游山水册》。
嘉陵江山水图,作画,山水,1933,嘉陵江山水图,evt_02741,为冯文凤作《嘉陵江山水图》。
温菘地鸡图,作画,其他,1933,温菘地鸡图,evt_02753,白蕉作《温菘地鸡图》相赠。
蜀中纪游图,作画,其他,1933,蜀中纪游图,evt_02759,为高燮作《蜀中纪游图》。
蜀游杂咏,书法,其他,1934,蜀游杂咏,evt_02827,手书《蜀游杂咏》印成，分赠友好。
梅石图,作画,其他,1934,梅石图,evt_02831,春，与何香凝合作《梅石图》。
江行杂咏诗意图,作画,其他,1934,江行杂咏诗意图,evt_02836,春日，作《江行杂咏诗意图》赠岳东美。
听帆楼图卷,作画,其他,1934,听帆楼图卷,evt_02886,夏，为唐天如再作《听帆楼图卷》。
渔洋精华录,作画,山水,1934,渔洋精华录; 全史; 通鉴,evt_02940,林思进《清寂堂日记》：“（甲戌九月）初四日，乙卯，晴。晨起访亚衡一谈。其子婚期即在本月，亦郁郁居此，或者两月后成都消息稍安，即约同归。令季儿往桐清处借得《渔洋精华录》以遣日。闻桐清亦写日记三十年，且以《全史》校《通鉴》一过，则虽奔走仕宦，尚不废学也。姬妇辈往龙渊夫人许谈，龙渊复馈肴馔数事。六钟同季儿过梁众异善钟路七十三号宅。屋庐甚敞，客坐书画并乾隆名人及莫郘亭、赵㧑叔之属，乃知巨六所言外行话耳。若论收藏，予或不愧之矣。坐上晤汤定之（涤），此画山水最近名家，雨生都督之孙也。面允为予画扇幅，且乞予书。夏敬观（吷盦）年约六十余，两人皆有髯，而汤绝美。平湖葛昌楣（咏莪号荫梧），多藏书。龙沐勋（榆生），
九秋图,作画,其他,1934,九秋图,evt_02945,10月30日甲戌九月廿三日，与叶恭绰、宣古愚赴苏州游览园林，于惠荫山庄观赏菤葹阁藏画，并与何亚农、王䓕、朱竹坪、彭恭甫、张丹斧、张善孖在柴簃举行雅集，合作《九秋图》。
