作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
水经注,著述,其他,1865,水经注; 释瀔篇; 古印文字考,evt_00003,《自撰年谱稿》：“余降生于前清同治三年，岁次乙丑，正月子时，因未立春，星命家以为甲子年、丁丑月、丁酉日、庚子时。先是父大人奉余祖母程（按：为‘潘’之误）避兵，由歙西潭渡至浙东金华县南五十里白砂岭。祖母程（按：同为‘潘’之误）殁，殡于里郑村之白砂寺。是年太平军南京失守，江南各处人民入都市，我家迁移县城之西铁岭头。有双溪水环城合流为瀔水，水名载《水经注》，后获一字古玉印，作《释瀔篇》，存《古印文字考》，未梓行，即余降生之地，因名其堂曰‘谷玉’。”
八十自述,作画,山水,1869,八十自述,evt_00042,《八十自述》：“幼年六七歳，随先君寓浙东，因避洪杨之乱至金华山。家塾延蒙师，课读之暇，见有图画，必细意观览。先君喜古今书籍书画，侍侧常听之，记之心目，辄为仿效涂抹，遇能书画者，必访问穷究其理法。时有萧山倪丈炳烈善书，其从子淦，七岁即能画人物花鸟。其父倪翁，忘其名，常携至余家。观其所作画，心喜之而勿善也，意作画不应如是之易，以其粗率，不假思索耳。其父年近六旬，每论画理，言作画必先悬纸于壁上而熟视之，明日往观，坐必移时，如是三日，而后落笔。余从旁窃笑，以为此翁道气太过，好欺人。请益于先君，诏之曰：‘儿知王勃腹稿乎？’因知古人文章书画，皆贵胸有成竹，未可枝枝节节为之也。翌日，倪翁至，叩以画法，不答。
劝学赘言,著述,花鸟,1871,劝学赘言; 凤山笔记,evt_00059,族侄黄崇惺，字次荪，由庶吉士分发福建归化知县，道经金华，馆塾中，为订课程。随父陪同游览金华八咏楼，次荪指问林中红叶，乃以唐诗对；又问草虫，答以蚱蜢；又问可知蚱蜢为舴艋之谐音，答以小舟，象形也。次荪称奇。抵闽中归化县后，为荐歙程健行来金华黄氏家塾教授，并自闽中邮寄自著《劝学赘言》、《凤山笔记》，以及重订《潭渡杂志》等书供研习。
潭渡琐志,著述,山水,1871,潭渡琐志; 先德录,evt_00060,《自撰年谱》稿：“辛未，四弟生。歙潭渡族次荪太史崇惺以（按：原稿破残，应为‘咸丰辛亥浙榜’）入翰林，是年黄山丰乐水流域十里中，同榜者为郑成章、汪运钥、洪镔。次荪太史来浙至金华，馆余家塾中，为订课程。游八咏楼，余见□□□（按：原稿不清，疑为米万锺）诗石刻，能成诵。抵闽，尝以所著寄赠，有重订《潭渡琐志》，知种族自江夏来，始于东晋。详余所著《先德录》。”
自述稿,著述,篆刻,1871,自述稿; 续印人传,,
歙潭渡黄氏先德录,题跋,花鸟,1871,歙潭渡黄氏先德录; 劝学赘言; 凤山笔记; 二江草堂诗; 草心楼题画诗,evt_00062,《歙潭渡黄氏先德录》：“次荪太史，讳崇惺，原名崇姓，字麐士，号次孙，真民先生孙。幼颖异，从父雨墩司训钟爱之。长遭兵乱，时同族虎卿观察任汉黄道，客汉臯。旋中咸丰辛亥浙榜，同治辛未授庶吉士，令闽中。先考鞠如府君侨浙东，君迂道来拜，府君命余兄弟出谒。余方八龄，随登婺州之八咏楼，指问林中红叶，余举唐人诗以对；又问草虫，余称蚱蜢，君笑曰：‘子知蚱蜢为舴艋之谐声乎？’余因曰：‘小船也，亦象形也。’乃大噱。明年为敦请同邑程健行师教授，屡邮在闽中所著《劝学赘言》、《凤山笔记》，及重刊《潭滨杂志》等书至。未几卒于任所，历任归化、福清知县，署汀州同知。有《二江草堂诗》、《草心楼题画诗》，未及梓（按：《草心楼题画诗
凤山笔记,著述,其他,1871,凤山笔记; 郡志辩证; 劝学赘言; 集虚斋赋存; 文存,evt_00063,《民国歙县志》：“黄崇惺，原名崇姓，字次荪，潭渡人。幼颖异，长遭兵乱，客汉臯。咸丰辛亥浙榜举人，同治辛未进士，历任福建归化、福清知县，署汀州同知，所至有政声。诗文皆雅健，著述甚富，多有关吾乡掌故之作，其《凤山笔记》专记太平军入徽始末甚详。同治中议修府志，崇惺作《郡志辩证》，订道光志之失凡数十事，皆精确。又著有《劝学赘言》、《集虚斋赋存》、《文存》、《二江草堂诗集》、《草心楼读画诗》。”
松菊图,作画,其他,1873,松菊图,evt_00071,父命临摹倪易甫乙丑年所作《松菊图》。随父游览杭州并写生。
字诂,篆刻,篆刻,1874,字诂; 梦陔堂文说; 经说,evt_00078,春返金华。读族祖黄白山《字诂》，及黄春谷《梦陔堂文说》、《经说》，并开始学习刻印。
梦陔堂诗,著述,篆刻,1874,梦陔堂诗; 字诂; 义府; 经说,evt_00081,又：“春谷公讳承吉，初名萼棣，字谦牧，仰岑公次子。幼读书聪敏，博综两汉诸儒论说。全椒金棕亭先生退官时，侨居相近，一见即赠诗，备极倾许。籍江都学生员，与同郡焦理堂（循）、李滨石（钟泗）、江郑堂（藩）诸先生友善，日以经义相切磨，当时有江、焦、黄、李四友之目。中嘉庆戊午解元，乙丑成进士，令广西兴安、岑溪诸县。充戊辰试考官，拔名宿汪能肃。公所议事，率以才能屈其坐人，缘是渐为同僚所诋，竟以文书失落劾罢。道光初捐复道员。粤行凡经四险，众将不生。因年老，一意发愤著述，有《梦陔堂诗》，集数十年，总五十卷。校正经史，钩稽贯穿，每出旷识，正古文人之是非。辨扬雄、班固论司马迁之非，斥扬雄谀王莽等，作为说十一篇，总三
黄宾虹,篆刻,其他,1874,黄宾虹,evt_00082,王伯敏《黄宾虹》：“他的父亲藏有邓石如、丁敬等的印集，但嫌他年纪小，祇给他看了一下，就放回书箱。有一次，他趁父亲外出，偷偷地把它取了出来，花了一个月的时间，临刻了邓石如的篆印十多方。他的父亲回来，看到这些临刻，初还不信，及到亲眼见他奏刀时，才惊呆了。那时黄宾虹祇有十一岁。”
黄宾虹在徽州,题跋,其他,1877,黄宾虹在徽州; 风帆江上归; 练江东望图,evt_00102,黄警吾《黄宾虹在徽州》：“第二年，定华公又要他附族人崇保伴，偕同二弟仲芳再回徽，宾老应院试，先父应童子试。船到严州转港后，因时间比去年迟些，看不见打渔翁，问起船篙长，才知道鲥鱼有的时间很短，由海里来产卵，产后就走，所以难遇它。宾老听了这些话，心中暗想，难怪去年所谓讨彩头了，立刻感觉到今年‘没彩头’。母亲又说过，明年难得多。正在闷想间，二弟画了一幅《风帆江上归》拿给他看，打断了他的闷想，转身为画题诗写跋，并引起他的兴趣，也画了一幅《练江东望图》。次日下午船抵朱家村要卸货，时间尚早，崇保主张赶到家，大家立即起船，匆匆上路，到潭渡已万家灯火，幸崇保路熟，送他们到有华二伯家。二伯父母早知他们要来，已有
家庆图,作画,人物,1879,家庆图,evt_00119,义乌画师陈春帆为绘《家庆图》大幅。从陈氏习人物画。
虹庐画谈,著述,其他,1879,虹庐画谈,evt_00175,《虹庐画谈》：“曩余寓居白下，因望江倪曦侯（昶）识贵池刘恭甫（贻让）。恭甫时方弱冠，喜画山水，为写《幽亭古木图》箑面以赠余，余爱之重之。又出眎家藏绣水王安节（槩）、王伏草（蓍）兄弟画册，益信其泽古功深，非率尔涂抹者可比也。”
黄山异卉册,题跋,山水,1880,黄山异卉册; 异卉图,evt_00134,自题：“忆庚辰之岁，余年十六，返歙应试。督学孙莱山宗师置列高等。里中戚好以余兼习绘事，时雄村曹氏好客，尚收藏，因出家凤六族祖《黄山异卉册》见眎，赏玩数日，并假录其题咏诗数十首，存行箧中。既而获观雪庄《异卉图》，又摹之，已数易稿矣。此凤六公临雪庄者，不袭其貌，而得其意，余又临之，而面目更变，花类亦简略不完，屈指韶华忽忽已垂周甲矣。世事沧桑，古物散佚，辗转迁迻，流入市肆，搜罗真迹，犹获见之。近拟辑凤六公佚事，检此重题数语于端。壬午矼叟识。”
叙印谱,篆刻,篆刻,1883,叙印谱,evt_00156,《叙印谱》：“自来藏印之伙，无如汪讱庵。余族聚居新安之潭上，去讱庵飞鸿堂故址仅六七十里，往来江淮间，舟行必经其地，至则徘徊瞻望，未尝不怀想其遗风。询所藏印，则归西溪汪氏久矣。洎客游归里门，与西溪汪氏衡宇相望，又获交其贤士大夫，始稍得窥其所藏印谱。不数年间，又得见其印谱中所有之印。”
频虹藏汉铜印记,作画,山水,1883,频虹藏汉铜印记,evt_00158,《频虹藏汉铜印记》：“余髫龄喜琢刻，弱冠旋新安，闻绵潭汪讱庵富藏印，道咸间物归西溪汪氏。余友汪怀之喜为文辞，工书法。一日，出其印箧中‘鹰扬将军’章示余，篆文深细急就，盖军中所刻章也。涂银龟纽，青绿斑驳，因玩爱不释手。怀之心知之，慨以赠余。余孑然存箧中，挟之游白门、维扬者垂五六年。海阳李梓庭工画多收藏，见印欲以郑遗蕤所画山水册相易。郑因明遗民，文行卓著，而画尤超特，与余族祖白山公交最笃，尤窃慕之，卒以将军印易去。印即讱庵物也。阅数年，余归自维扬，西溪汪德扬为余言其家中曩藏印之富，经兵燹后毁弃殆尽，间从尘土中捡得其十数纽，然入卖人手过半矣。余急询其仍有存者否，因得‘大医司马’等司马印两纽，酬之金。
频虹藏铜印记,作画,山水,1884,频虹藏铜印记; 自叙,evt_00171,存考：这十年是谱主自述纪年材料匮乏的时期。上年条下所引《频虹藏铜印记》所云前“垂五六年”后“垂四五年”，年之总数与此暗合。这十年间，主要在南京、扬州江淮一带。然而一曰“负笈”，一曰“馆谷”，前者指求学，后者指教书，并不相同，这为年谱纪年设置了困难。此其一。其二，何时居南京、何时居扬州，亦难知其详。若按到南京，扬州入书院肄业来说，并非所有书院都收外省学生。如此际《申报·整顿书院》云：“近年上元、江宁两县科名之盛，甲于东南，‘天下文枢’，此语可当之而无愧。城内向有两书院，钟山则广收各省之棫，尊经则仅育一郡之菁莪。”虽然黄宾虹晚年填履历表有南京钟山书院和扬州梅花书院高材生之语，却无从确知入两所书院的
画征录商兑·绪论,著述,其他,1884,画征录商兑·绪论; 画征录,evt_00173,《画征录商兑·绪论》：“浦山所著《画征录》，洞参宗旨，言皆中肯。余胜衣就傅，浏览是编，手不忍释。弱冠涉猎群籍，颇多疑牾，尝即其书条目之下，互参众说，间附己意，拉杂纪于书首。”
幽亭古木图,作画,其他,1884,幽亭古木图,evt_00174,居金陵之际，与贵池刘恭甫订交，刘作《幽亭古木图》扇面以赠，并观其家藏王槩、王蓍兄弟画册。
数奇之士,篆刻,山水,1887,数奇之士; 和赵少舫六十述怀四首; 沪渎杂记; 上海繁昌记; 哭张瑶圃,evt_00214,存考：黄宾虹《数奇之士》一文是截取陈若木《一沤吟馆选集》（1910年刊本）王鉴、臧谷、陈霞章三人序识组合而成的。从《一沤吟馆选集》诸诗及诗注仅知陈崇光原配夫人朱氏殁于1871年之际，之后诗集中祇有云游沪渎江浙一带的诗作，并没有续弦的痕迹可寻。1871年来沪，不久1875年又来沪。所选诗终于1878年前后，仅《和赵少舫六十述怀四首》偶涉其原配夫人朱氏，其第三首云：“平生相遇岂徒然，悟后情怀托四禅。竹醉未妨君子节（君竹醉日生），莩亲忝有弟兄缘（君继室朱与吾亡室，女兄弟也）。人间故剑偏多感，天上明星喜再圆。却羡采衣欢笑罢，传经娇女立灯前。”按诗意，陈若木与赵少舫为连襟，陈的夫人和赵的继室为姐妹，且均
建康实录,篆刻,篆刻,1888,建康实录; 春秋律身录,,
尔雅,作画,山水,1891,尔雅; 汉书·地理志; 煮梦盦填词图; 古画微,evt_00252,存考：这里有两道坎困惑着我们。一是黄宾虹依据什么断言郑珊是王宸（字蓬心）的门生。王蓬心卒于1797年，郑珊生于1809年，一卒一生，相隔十二年，郑珊无从“受法”于王蓬心是显而易见的。既然有这道无法跨越的间隔，郑珊后半句“此吾曩受法于王蓬心太守者”便不可理解，那么是什么因素导致黄宾虹说这句令人一头雾水的话的呢？惟一的解释便是黄宾虹没有深究王、郑两人的生卒年份，曲解了郑珊的原意，作了与原话有所出入的转述。二是黄宾虹这次拜访发生在哪一年。前文已排除了1884年的可能性。那么究竟发生在哪一年，除了笼统地知道在郑珊八十多岁的这个年龄段以外，无从推知确切的时间。皖公山即天柱山，又名潜山。《民国潜山县志》：
周氏听雨楼,作画,其他,1893,周氏听雨楼; 听风雨楼图卷,evt_00270,《周氏听雨楼》：“余曩游邗上某官家，尝睹王蓬心画《听风雨楼图卷》，笔墨草草，仅二尺许，后之诗文题识者近数十人，皆一时名流之作。忽忽二十余稔，兹亦不可复见矣。”
黄宾虹二三事,题跋,其他,1895,黄宾虹二三事; 莽苍苍斋诗草,evt_00298,王伯敏《黄宾虹二三事》：“1895年（光绪二十一年）春天，谭嗣同在浏阳与湖南士绅合股筹开煤矿，闻中日战争失败，悲愤之极，以为亡国就在旦夕，呼号‘变法’，竭力提倡新学，并在浏阳设立算学格致馆，介绍西洋科学知识，因人力不足，想去上海活动。这时宾老的朋友萧辰在浏阳，并协助谭嗣同工作，于是函告宾师，约其与谭嗣同在安庆会面。这年夏天，谭嗣同由水路东下，宾师特地从歙县赶去，在贵池的一家旅社里，由萧辰介绍两人见了面。下面是宾师回忆与谭嗣同见面时的一段话：‘那时我们都年青，当晚，我们三人（指和谭、萧）在一起吃饭，萧辰平素无多话，爱喝酒，他祇闷着头顾自己吃。而复生（按：谭嗣同字复生）呢，说是肠胃不好，既不喝酒，
韬庐图,作画,其他,1897,韬庐图,evt_00303,春月，应业师汪仲伊之命，作《韬庐图》。
廉访课士,题跋,其他,1897,廉访课士,evt_00310,《廉访课士》：“安省敬敷书院，每月官、师两课，今值大比之年，所有四、五、六、七等月课业已预先提前，本月初二（阳历9月27日）应轮臬宪课士之期。是日清晨，赵廉访亲诣书院点名命题课试。兹将题目录左：孔子曰：‘益者三友’全章。诗题：赋得‘地不爱宝’，得兴字，五言八韵。策问：今之保甲如此綦严，而盗贼之多如故，有何良法可以绥静闾阎，保卫商旅？”（10月13日申报）
观察课题,题跋,其他,1897,观察课题,evt_00311,《观察课题》：“安省敬敷书院，本月初二日（阳历10月27日）应轮道宪课试。是日黎明，李廷肃观察亲莅考棚命题监课。兹将题目录左：国家闲暇及是时明其政刑，虽大国必畏之矣。诗题：赋得‘塞鸿声急欲霜天’，得天字，五言八韵。”（11月17日申报）
集古印存,作画,其他,1898,集古印存,evt_00318,与汪福熙书：“吉修大兄世大人侍右：去腊皖江归里，接惠手毕，过蒙奖饰，恧感交集。藉悉阁下桐枝高占，绛帐春融，式符臆颂。承属画屏，呵冻染翰，殊不见佳，即希哂政为荷。凌、沈两先生皆精通篆隶，博雅好古，同寓中江，得常亲敬否？法隶得自家学，扩以闻见，诣力所至，竟未易量，艳羡艳羡。省中雪湖翁，年近九旬，六法精妙，尤工画梅，子予先生比之有明刘雪湖，遗之楹联，书法极妙。及归歙浦，道经白岳之麓，时适雪霁，遂跻其巅，一穷三姑、五老诸峰之胜。岁尽获睹汉铜私印六枚，青紫斑剥，知为讱弇先生《集古印存》中物，力谋而得之。此皆近事所为，自诧眼福，差足以告同志者耳。至于敬敷，今年膏奖更减，往来跋扈，旅费俱艰，因拟试后再决行止
黄白山黄山诗意图,作画,山水,1899,黄白山黄山诗意图,evt_00339,仲秋，为父母官筱印作《黄白山黄山诗意图》。
黟山人黄牧甫印谱叙,篆刻,山水,1900,黟山人黄牧甫印谱叙,evt_00365,《黟山人黄牧甫印谱叙》：“庚子北扰，南方震动。余往黟，偕邦人谋守羊栈岭。牧翁时由粤归黄山，一相见如旧相识，因获观其所治印章，不失先正矩矱。”
仁德庄义田旧闻,题跋,其他,1900,仁德庄义田旧闻,evt_00371,《仁德庄义田旧闻》：“义田之举，自族祖议叙三品刑部安徽司郎中公履（昊？），前清乾隆七、八两年，系解私囊，以恤族姓之孤贫而设，捐银计一万六百余两，置田八百八十余亩。嗣于乾隆十年，族会钺筹联名禀恳刘县示禁，蒙批详请各宪题旌勒石县辕，列载条目，永杜棍徒勾引友丁魆行盗卖盗买，以及奸佃抗不交纳，均许族会指名赴呈重究在案。……同治、光绪中，小发、又晖、训和、咏宣实承其事。时当大乱初平，居民转徙，疾病死亡者，相藉于道，地旷人稀，祠宇残废，岁租之人，不敷补葺。而东庄、丰堨田亩，荒芜几尽，莘墟、睦坞诸田产，失业被占者，不可究诘。”
黄山卧游图册,作画,山水,1902,黄山卧游图册,evt_00408,按：为汪聪作《黄山卧游图册》自跋云：“甲午而后，归耕歙东，垦荒田亩数千计，岁必至天都、莲花诸峰，尝于秋霁，尽兴探索丘壑云烟之趣，收之囊中。”看来，黄宾虹自归歙十余年间，每年都游黄山写生，此外，旁及歙南诸名山。
滨虹集印存序,篆刻,篆刻,1902,滨虹集印存序,evt_00415,《滨虹集印存序》：“夫王俅集印谱录谁稽，吾衍编书品自碻。冻石珍逾铜玉，闲章羼入诗词，变格标新，遗制就沫，繇兹而论，耆古所欷。不佞行箧捜残，临池学瑑。汉、魏之古鼎，不眩乎甘才；文、何以还，裘类成于集腋。虽或寥寥数纽，落落几人，菭斑锈涩，半蚀虫鱼，石隐孤畸，尽弢姓字，苟典型之不泯，斯裒集而靡遗。要亦文豹一斑，莫窥管之陋，神骏千里，或蕲按图可索也。光绪癸卯仲春，潭滨黄贽。”
任耕感言,著述,其他,1906,任耕感言; 齐民四术,evt_00470,《任耕感言》：“三十二年丙午六月，邑东禾稼虫伤。二十四、五两日，堨田亦因陡生害虫，似蚕而小，遍身绿色，吐丝结叶，蔓延五六百亩之多，禾苗几尽，穗成枯萎，农人惶急。今农学家言，害虫发生，或以田亩芜秽未净，温润不洁之气所致。去冬久干，田土不及耕翻，虫蚁伏处，值时而作。类有蝶一种，幼时为蠋，食禾吐丝，缀叶以构窠，身在其中；蜕皮成蛹，夏月初化为蝶，产卵伙多，夏秋之间，孶植三四回，禾谷为之不登。其种与此绝为相似。安吴包慎伯著《齐民四术》，论稻生结叶虫，每亩以桐油两斤，趁无风日斜时灌之，油随露提上叶尖，则虫陨而坠水。而农民狃于故俗，请必迓神禳祲，燃爆鸣钲，兼以敛费。”
国学保存会章程,著述,篆刻,1907,国学保存会章程; 黄史; 丁未八月上藏书楼夜坐杂感; 叙摹印,,
皖路大会纪事,题跋,其他,1907,皖路大会纪事,evt_00493,《皖路大会纪事》：“芜湖本月（阴历十月）初二为安徽铁路公司开第三次会议，南北各州县所到议员共三十余人。是日开会秩序录左：一、开会宣读颂词，布告开会宗旨；二、会办报告自第一届账略起，至今年八月底止收支各款；三、提议事件（一、盐斤加价；一、南典加息；一、北茶抽股）；四、请各议员自表意见，凡有可筹之款，须实力担任；五、请南北各议员分担调查南北路线出产，暨有关利益各事；六、筹议助江浙抵制借款办法，浦信事同一律，此后事机益迫，宜如何急起自谋预筹对付办法。皖路议员题名单：定远方臯、婺源李荣干、歙县黄质、舒城王元良、泾县周肇熙、建德赵镕、舒城高鲁黉、宣城陈恭、石埭苏吉庵、六安吕烈钰、太平谭秉鉴、铜陵章家祺、
画学散记,著述,其他,1907,画学散记,evt_00495,回歙里居时，埋头著述，除金石学外，整理《画学散记》。
叙摹印,著述,山水,1907,叙摹印; 叙村居; 叙造墨; 画学散记; 记者识,evt_00497,存考：经历人生一劫，黄宾虹去意已萌。里居时，埋头著述，继续写作《叙摹印》、《叙村居》、《叙造墨》的同时，开始整理画论著述，其成果则是收入文集的《画学散记》。此稿写于《国学报》的稿笺上，生前未发表，收入文集时，由于不明《国学报》的来龙去脉，据文意断为清末之作。经查考，《国学报》系国学保存会创建之初准备刊行的一种杂志，黄节为之撰有《国学报叙》，因故未曾创刊。黄节的《国学报叙》刊于甲辰十一号第三十七张《政艺通报》上，同时有《记者识》一则：“癸卯岁暮，同人创为国粹学社，拟出《国学报》一编，因属黄君为之叙，后以事会变迁，迟迟未成，今刊其原叙于此，以正海内热心同志之君子。”我们无从得见《国粹学报》稿笺是什
叙造墨,篆刻,篆刻,1908,叙造墨,evt_00499,邓实得寄沪自拓印谱，以及供《国粹学报》制版用的古代书画和赠画后，复信催《叙造墨》续稿，并约撰画论。
滨虹论画,出版,其他,1908,滨虹论画; 滨虹论画; 神州国光集; 神州国光集; 神州国光集,evt_00501,存考：这封信未署年月，但从以下两方面可以断定其写作时间不晚于本年年初。一、《滨虹论画》本年九月（阳历为10月）发表于《国粹学报》，显然用的是黄宾虹本年来沪时随身带来的稿子，扣除排版印刷装订的周期，则其来沪时间如果在五六月份，那么从1月到5月，有足够的时间写作《滨虹论画》。二、《神州国光集》原定二月份（阳历3月）创刊，由于进口机器的调试不顺利，直至7月份才登报发行，邓实“日内可出”之说系筹划到印制之间的乐观用语，事实上他并未料到试印时会有那么多的麻烦事和那么大的报废量。邓实具有经营的才能，黄宾虹晚年对人还幽默地说，邓祇用五十元钱办神州国光社（《夏承焘集·天	风阁学词日记》）。由《政艺通报》而《国
疏林淡山图,作画,其他,1908,疏林淡山图,evt_00504,秋日，作《疏林淡山图》。
中国画变革的语言资源——20世纪初叶中的一些证例考析,作画,山水,1909,中国画变革的语言资源——20世纪初叶中的一些证例考析; 扬子江马当山砲垒图; 蜀中山水; 北海之滨; 画法要录,evt_00526,存考：自此开始，直至1941年蔡守谢世，其间悠悠三十二年，黄宾虹和蔡守的交谊不绝如缕。综观三十二年岁月的交谊，大抵可以作如下的表述：相识之初，蔡守较之黄宾虹占有明显的优势，这种优势体现在他有更为广泛的社会关系和更早投身于文化事业的经历，起步更早的艺术探索在某种程度上影响并启迪了文化领域的新人黄宾虹；但是，随着时间的推移，两者地位发生了变易，优势很快转化到黄宾虹那里，可以说在其后大部分岁月里，蔡守为黄宾虹的艺术折服，成为黄宾虹艺术的忠诚追随者。1912年黄宾虹《真相画报叙》有以下一段话曾经长期令人迷惑不解：“尝拟偕诸同志，遍历海岳奇险之区，携摄影器具，收其真相，远法古人，近师造物，图于楮素，足迹
雪味厂图,作画,其他,1909,雪味厂图,evt_00527,春日，为蔡哲夫作《雪味厂图》。
檀干村图,作画,其他,1909,檀干村图,evt_00529,暮春，为许承尧画《檀干村图》。
蒹葭图,作画,其他,1909,蒹葭图,evt_00535,夏，为黄节作《蒹葭图》。
国学萃编,作画,其他,1909,国学萃编; 荔支湾送别图,evt_00537,9月，潘飞声应沈宗畸（太侔）之请，赴京与编《国学萃编》，出广州，道经香港上海。与邓实、蔡守邀其饮于酒楼，潘氏赠诗为别。潘氏出伍德彝绘《荔支湾送别图》卷请为题跋，
荔支湾送别图,篆刻,人物,1909,荔支湾送别图,evt_00539,题《荔支湾送别图》：“潘君倜傥今名流，才华富有非凡俦。言筌往往得肯綮，奏刀目已无全牛。鸡林曩日贵声价，亦有蒲轮重相迓。僊居挹娄矗九梯，异数不数星轺下。君昔朱颜今鬓霜，横秋老气工文章。京华人物盛繁富，好为祖国扬休光。逢君海上时方暑，羽扇挥风汗如雨。六桥三竺纪游踪，虎阜狮林结吟侣。扁舟载酒兴自豪，花间醉饮琼楼高。胸中丝竹会陶写，文思不涸词滔滔。年华感嘅秋风易，北燕南鸿迫人事，愿当更作岁寒盟，松柏青青比君子。兰史词丈先生将有北行，出纸属题，率成里句，聊以赠之，即希哂正。潭上质拜稿。”
惠山访听松石图,作画,其他,1909,惠山访听松石图,evt_00543,夏，为潘飞声作《惠山访听松石图》。
西泠泛櫂图,作画,其他,1909,西泠泛櫂图,evt_00546,夏，为潘飞声作《西泠泛櫂图》，并录其诗。
浅绛新安山水图册,作画,山水,1909,浅绛新安山水图册,evt_00557,己酉七月，挥汗为李可亭作《浅绛新安山水图册》，署“己酉七月潭上质”、“朴居士”。邓实题识称其画“视诸（新安）先辈，几有出蓝之妙”。
南社丛谈,出版,其他,1909,南社丛谈; 南社丛刻,evt_00585,郑逸梅《南社丛谈》：“十三日早晨，他们就雇了画舫，从阿黛桥出发，循七里山塘，一橹双桨，摇到虎丘。上了岸，直趋张东阳祠，社员和来宾共十九人，先后都到了。开了两桌，菜肴是船上备着的。一方面喝酒，一方面选举职员，预备发行《南社丛刻》，当场选出了陈巢南为文选编辑，高天梅为诗选编辑，庞树柏为词选编辑，柳亚子为书记，朱少屏为会计。”
上海书画研究会简章,书法,其他,1910,上海书画研究会简章; 上海的学艺团体,evt_00600,《上海书画研究会简章》：“中国古今书画，擅绝艺林，久为东西人士所推服。自经兵燹，宋元名迹仅有存者，即胜国及本朝法书名画，亦毁失过半，海内收藏家珍秘过甚，后学未易观摩，间有一二流传，动索重价，辄为海外人所得，古法日湮，俗习竞效，书画一道，遂致每下愈况，良可慨也。上海为交通之地，文人学士，居处往来，以书画专长者颇众，四方求索，深苦烦劳，其有高自标置者，延访无从，遐音终閟，致为缺憾。本会以提倡研究，承接收发为宗旨，爰集海上同志，就小花园商余雅集楼上设立会所，公同推选书画家、收藏家、赏鉴家随时晤叙，互相考证，以为保存国粹之一助，略具简章于左：一、本会公举李君平书为总理，哈君少夫、毛君子坚为协理，赵君云
1947年中国美术年鉴,题跋,其他,1910,1947年中国美术年鉴; 书画研究会简章,,
岫庐八十自述·中国新公学,题跋,其他,1910,岫庐八十自述·中国新公学; 岫庐八十自述·初长商务印书馆编译所与初步整顿计划,evt_00606,本年9月1日《时报》有“留美预备学堂考取学生名次”广告，我们把它录在下面：“乔煦，叶质，李士琛，翁芸舫，赵建藩，陈常，严中，党沄，姚熞挺，徐芝田，胡国光，周钰，戴明之，宰清濂，赵绍武，邢定云，谭廷凯，王鹏，朱士式，汪述盫，陈渊仁，徐柏堂，张卓云，何治宜，罗世冕，李阶平，陈继青，罗绳古，许放勋，彭建业，陈其昌，王令庄、陈子刚，朱其仁，孙伯英，黄宗炎，曾仲廷，章显庠，李嗣青，朱子云，许宗岳，周晖，蓝文蔚，何勤，李俨，王镗，陈弼，廖振，盛琮，余彝，徐望曾，陈景泰，冯金莹，徐颉堂，周德明，金济向，刘钟璠，程忠正，王崧生，何其仁，孙邦藩，王承孙，汤鸿基，查斗牛，刘星源，杨曾龢，姚裕源，连声海，张超华，李
温泉铭,出版,书法,1910,温泉铭; 温泉铭; 温泉铭; 温泉铭; 论画示三女蕙英,,
自题蒹葭图寄黄滨虹索画,题跋,其他,1910,自题蒹葭图寄黄滨虹索画,evt_00619,黄节《自题蒹葭图寄黄滨虹索画》：“愁入蒹葭不可寻，闭门谁识溯洄深。江湖一往成回首，风露当前独敛襟。遗世尚多今日意，怀人空有百年心。凭君为写伤秋句，应与鸣条和独吟。自题蒹葭图，即寄朴人为索画事。庚戌初秋，黄节。”
九歌图册,作画,山水,1910,九歌图册; 离骚·九歌,evt_00625,题江蓉《九歌图册》：“有明仇十洲画《离骚·九歌》，向藏余族茨荪太史家，咸丰兵乱散失，后归朱丈寄洲。寄洲收庋极富，然以此册为压卷，余过其斋，恒出册以夸示。且以为通缋事如余族中凤六、柳溪诸公皆能广睹古今名迹，故笔笔有来历。郡城江丈莲峰，幼通书史，工吟咏，所游江淮间，王小某、释莲溪皆极称之，而与陈若木交谊尤笃。及归黄山，皤皤黄发，时与寄洲丈为文酒之乐。余以治农田水利之暇，得时时闻诸先生之议论。今寄洲、莲峰已归道山，而余出旅沪，眴将两载。哲夫道兄工书善画，获斯册子，展玩久之，人事变易，曾不十年，已足深人今昔之感，为此题之，不胜怃然。黄山黄质。”（广州中国艺术博览会1995年拍卖图录）
二十年目睹之怪现状,著述,其他,1910,二十年目睹之怪现状; 痛史,,
广雅书院图,作画,其他,1911,广雅书院图,evt_00643,作《广雅书院图》赠黄节，黄节作诗以报。
鬻书后引,著述,其他,1911,鬻书后引,,
荀楼画谈,篆刻,其他,1911,荀楼画谈; 古玺印铭并序,evt_00655,9月2日，《荀楼画谈》开始在神州日报连载，署名“濒虹”、“宾鸿”。同时刊出的还有《古玺印铭并序》。连载未完，因革命起而中辍。
宝铁研斋图,作画,其他,1911,宝铁研斋图,evt_00657,是际，为哈少甫（少夫）作《宝铁研斋图》。
黄宾虹十事考：文美盛会,作画,山水,1912,黄宾虹十事考：文美盛会; 贞社时代; 1947年中国美术年鉴; 上海学艺概况; 上海学艺团体,,
